Episode,Total Reward,Agent 0 Reward,Agent 1 Reward,Agent 2 Reward,Agent 3 Reward,Agent 4 Reward,Agent 5 Reward,Agent 6 Reward,Agent 7 Reward
46,[697.36921194],[116.2172983],[90.89432239],[120.78455666],[60.12580539],[106.22391035],[14.37429476],[69.48493617],[119.2640879]
47,[223.87136265],[14.36599317],[79.84214153],[55.61654836],[8.69923513],[51.15832016],[-49.53371545],[31.48429867],[32.23854109]
48,[566.17757151],[89.75990479],[93.07938528],[55.38270153],[92.80042542],[73.96788799],[11.00405665],[73.66500904],[76.51820081]
49,[220.58795303],[54.40982468],[-1.54624533],[34.02568688],[36.79861382],[34.96710465],[-34.77403384],[38.08189531],[58.62510685]
50,[663.81804584],[119.84280232],[65.9680834],[75.57881568],[78.97224786],[83.26171548],[23.39911556],[92.88004104],[123.91522448]
51,[22.05178413],[19.7031211],[-0.46220986],[46.54020188],[13.04361246],[-0.71783136],[-63.52754045],[10.43977077],[-2.9673404]
52,[743.3068522],[99.32414026],[78.42148213],[102.76922903],[129.17229062],[106.78389956],[20.73835272],[95.91190488],[110.18555299]
53,[-85.92516703],[9.32924244],[-3.4375966],[20.28589637],[-18.22064048],[-18.26488784],[-69.37411506],[-16.69984795],[10.45678208]
54,[679.35357568],[93.6430213],[118.72659573],[69.60456403],[73.2985417],[66.41214132],[28.15624891],[126.88194246],[102.63052023]
55,[613.77941797],[85.3894804],[117.98857064],[106.1876535],[71.11135716],[94.96184596],[4.01915101],[58.4180044],[75.70335491]
56,[637.69569462],[60.51556152],[74.58548703],[94.67520291],[103.32410094],[86.39234997],[6.25598731],[123.62153365],[88.32547129]
57,[26.27003469],[22.55926921],[23.45283642],[19.41403833],[12.51525878],[-6.45679463],[-75.47157034],[31.00774425],[-0.75074734]
58,[607.93788997],[72.28447731],[103.78678733],[62.52518014],[83.0640147],[92.57943951],[7.57427214],[106.67531801],[79.44840082]
59,[698.9176917],[71.67077527],[99.37843699],[86.50044891],[73.14636311],[158.85101415],[7.49227242],[90.55754141],[111.32083946]
60,[629.32567181],[103.54438852],[85.71426449],[95.47187043],[96.31095737],[90.84710466],[-0.63857603],[106.33593363],[51.73972874]
61,[528.95470071],[63.39730141],[79.04808006],[115.58523453],[31.61275893],[67.19870092],[-1.18558139],[75.18356713],[98.11463912]
62,[640.17324678],[82.79078536],[61.88679093],[85.87293184],[107.05878161],[57.59843995],[0.26946123],[138.0227583],[106.67329756]
