Episode,Total Reward,Agent 0 Reward,Agent 1 Reward,Agent 2 Reward,Agent 3 Reward,Agent 4 Reward,Agent 5 Reward,Agent 6 Reward,Agent 7 Reward
200,[712.37086035],[103.94570995],[88.30935475],[113.29824704],[89.67026057],[101.81094595],[12.09439611],[94.15303655],[109.08890943]
201,[669.78178946],[88.93653361],[65.8873585],[142.91865067],[55.31244711],[109.02515361],[4.74703915],[142.72041259],[60.23419423]
202,[150.20626428],[-9.18275246],[70.15652631],[65.59179553],[0.09945773],[57.61362947],[-60.82969039],[-1.82055593],[28.57785401]
203,[520.39039765],[104.569279],[42.47373595],[70.6351811],[69.01496037],[75.36634273],[1.51305567],[75.34388964],[81.47395318]
204,[603.92730767],[100.05446893],[79.56800826],[93.79679717],[68.13264784],[106.73242695],[-3.02735097],[72.80422009],[85.86608939]
205,[152.33787242],[57.39144792],[-0.18492504],[-19.35362234],[33.38322244],[13.9578583],[-53.01274641],[71.7553413],[48.40129625]
206,[790.09153661],[123.28824303],[140.2170531],[131.64699325],[101.0652306],[87.37573966],[1.68174367],[107.54014751],[97.27638579]
207,[218.15818851],[11.68071407],[69.22178419],[58.3122441],[29.78351539],[8.77945286],[-37.9361608],[40.3500534],[37.9665853]
208,[626.06651891],[130.47717691],[82.2328411],[80.7209303],[112.23084561],[76.33277093],[0.58300511],[90.41570048],[53.07324847]
209,[574.59917396],[81.56885044],[127.45301814],[53.79723189],[68.49356423],[64.44602011],[-1.4851743],[85.05175839],[95.27390505]
210,[699.71594827],[67.36450057],[79.37542897],[91.60162266],[109.36089109],[104.46595712],[0.91147073],[120.59173502],[126.04434212]
211,[653.54759506],[87.57520727],[88.10412442],[74.81948422],[83.93174572],[112.55434894],[0.40356007],[95.71383024],[110.44529417]
212,[714.73573404],[120.46561062],[70.62960409],[99.06919466],[98.88716461],[79.22451181],[3.21798948],[153.13050884],[90.11114994]
213,[574.2020888],[80.75792827],[59.94608713],[82.44425717],[70.96261601],[84.34204425],[4.75466725],[58.81462705],[132.17986167]
214,[620.62828056],[140.95249746],[102.70123607],[46.66683662],[102.66701472],[70.86888121],[2.9680001],[86.31115346],[67.49266092]
215,[230.3429415],[45.52329054],[6.52914938],[62.73620466],[41.5281154],[3.64848569],[-44.3726741],[60.00834872],[54.74202121]
216,[632.13654277],[80.56609193],[88.12388982],[96.68513095],[70.29039649],[96.6906785],[3.80054866],[81.03285972],[114.94694671]
217,[611.75016297],[115.48058262],[115.35112448],[97.53317932],[71.14514217],[47.94990867],[-7.05962937],[54.33630271],[117.01355238]
218,[733.30229198],[77.19323132],[65.40062727],[144.42791686],[104.63966923],[122.75455802],[1.37857331],[137.11760255],[80.39011342]
219,[517.22977119],[67.79244769],[40.52183783],[86.14073614],[96.49927388],[64.13205499],[-16.89488261],[126.9108747],[52.12742857]
220,[689.0438766],[119.4605184],[49.62108214],[120.8755282],[69.07331754],[111.34881077],[0.50933491],[132.64437259],[85.51091205]
221,[691.46600964],[114.3898175],[94.26576611],[128.27034954],[118.683692],[44.32897964],[1.41447593],[116.55115097],[73.56177795]
222,[686.9136391],[84.74853512],[62.96765308],[110.36805995],[120.96032882],[114.27967456],[0.44726896],[110.17177831],[82.9703403]
223,[662.57368715],[89.70305755],[122.28234445],[97.8283841],[62.66839064],[79.16419034],[3.40145824],[132.59158561],[74.93427621]
224,[-487.41449603],[-37.18681827],[-73.15643513],[-14.58562376],[-60.91562167],[-110.67104601],[-143.68794771],[-31.91007082],[-15.30093266]
225,[570.07114894],[50.70924492],[74.0431545],[150.53802514],[22.75323627],[71.29889634],[0.47563827],[79.13440512],[121.11854837]
226,[448.81814521],[87.7927244],[67.04370336],[82.05333338],[38.69654074],[40.08407014],[-3.37717336],[59.7051238],[76.81982276]
227,[623.56811782],[109.96025234],[95.63920334],[104.05892095],[85.21286728],[71.78410638],[-2.48681004],[63.08666455],[96.31291304]
228,[698.81610501],[98.86308416],[86.08338429],[98.23214959],[122.69917943],[61.87575721],[1.80567413],[133.12013473],[96.13674146]
229,[513.80066406],[81.96432646],[84.78416192],[92.09455173],[40.6824243],[98.31507391],[-14.12008996],[45.37719861],[84.7030171]
230,[678.04069964],[93.06061427],[87.50937635],[132.35933056],[54.85628675],[95.45185086],[-0.14061864],[83.24907366],[131.69478583]
231,[650.74505042],[82.52180899],[104.06132618],[85.94963342],[124.96441257],[83.07767832],[1.78208098],[105.59764881],[62.79046115]
232,[-135.21596585],[-16.43577455],[-17.1656957],[-16.50120114],[-16.95310658],[-16.32221851],[-19.11385718],[-15.4721022],[-17.25200998]
233,[560.23684896],[131.88633057],[69.72643542],[96.74884004],[80.28278669],[50.02620613],[-1.29224698],[91.28677066],[41.57172643]
234,[79.26727918],[3.98959221],[31.37663388],[15.96143568],[-21.29254791],[20.51596495],[-63.94761072],[39.87541384],[52.78839725]
235,[668.14370754],[125.45526627],[84.28059055],[115.40339149],[87.78234896],[49.71063736],[4.45742753],[93.25130497],[107.80274041]
236,[687.98829967],[117.00139907],[81.06737415],[112.15308872],[119.27612064],[70.94484231],[1.16691046],[124.82801825],[61.55054608]
237,[659.40855822],[77.2672681],[55.73098782],[106.64343008],[110.94835698],[85.87616851],[-3.42660693],[102.64099569],[123.72795796]
238,[665.49880959],[74.01360112],[68.52559908],[61.52957183],[86.18925377],[109.59429173],[0.17856965],[124.16220725],[141.30571516]
239,[672.78734608],[117.11231116],[93.18345315],[68.22265627],[56.65297735],[110.53477654],[0.08670263],[82.19662679],[144.79784219]
240,[575.61093792],[132.75332309],[38.52544654],[98.25654941],[47.72909169],[79.15052155],[-9.01138662],[72.16674432],[116.04064794]
241,[692.8449471],[53.74294647],[58.60492531],[87.12683055],[106.21622384],[152.09343543],[2.62783315],[101.76470738],[130.66804497]
242,[662.89385733],[144.74174666],[68.57257244],[106.30201813],[89.62148326],[100.71114039],[-4.0579461],[39.29997072],[117.70287182]
243,[540.26256694],[101.05111928],[71.04061607],[95.99375978],[68.75147955],[62.04135869],[-6.08848326],[55.8725892],[91.60012762]
244,[111.48039847],[-4.81644778],[35.75750212],[43.63927004],[36.06686598],[-21.02697901],[-61.68775763],[53.1806312],[30.36731355]
245,[128.73937681],[26.81033065],[25.11599921],[28.60758805],[0.67266595],[28.91396735],[-12.16809402],[1.11395578],[29.67296384]
246,[610.53933516],[115.10823408],[97.87505533],[88.22667669],[64.49764107],[95.41250701],[-5.91520685],[52.99172968],[102.34269815]
247,[567.13805081],[62.88957314],[45.25394787],[98.62677509],[70.75763253],[60.79249745],[-6.08811392],[108.09667089],[126.80906776]
248,[688.7472193],[88.36882525],[72.29641414],[145.72692454],[98.3566109],[113.43425968],[1.56296227],[90.94944027],[78.05178226]
249,[705.56516678],[108.66615604],[49.75140099],[115.70181702],[100.80734638],[86.24669023],[1.6322729],[77.008922],[165.75056123]
250,[659.04860707],[126.70901103],[120.56173354],[76.91977839],[58.0974907],[75.68986747],[-3.92607753],[119.24306247],[85.753741]
251,[640.1273909],[103.60038293],[100.9605444],[69.32300918],[80.52682712],[35.43172383],[2.71288901],[101.34587694],[146.2261375]
252,[700.04479565],[111.5397147],[60.09809455],[152.4864978],[103.77233865],[110.7530963],[7.83485032],[112.66096398],[40.89923934]
253,[678.1911329],[131.64492332],[65.68368568],[64.65955547],[76.84421348],[103.78088119],[1.46146397],[146.29589582],[87.82051396]
254,[590.75553939],[97.92431827],[50.47407837],[72.60989233],[67.79360641],[92.90379253],[0.00018508],[121.71009016],[87.33957623]
255,[687.21710874],[71.58658209],[119.37178435],[111.49480442],[61.38607978],[121.93293177],[0.00178212],[97.11081948],[104.33232472]
256,[479.89762466],[63.49855977],[106.09078321],[70.45577619],[79.12390934],[26.78892076],[-5.89254106],[63.41232521],[76.41989124]
257,[701.80888849],[96.65289518],[71.01773525],[100.10285555],[55.6153335],[99.53215837],[-1.60873163],[163.97468962],[116.52195266]
258,[625.7835169],[108.24580685],[120.29408117],[91.06665071],[98.29577303],[35.04319731],[5.522335],[108.07418338],[59.24148944]
259,[582.53532901],[66.51039956],[88.36796331],[80.68950603],[53.07297909],[141.34554495],[-2.5032816],[64.21450928],[90.83770838]
260,[650.84824505],[128.41426611],[91.19860113],[109.34817396],[49.14402792],[84.01169781],[0.54412663],[103.2881355],[84.89921598]
261,[-438.36820488],[-77.31389361],[-23.97152221],[-33.24314993],[-40.11247371],[-73.01262321],[-129.23854882],[-50.61147118],[-10.86452221]
262,[670.44070129],[136.89655965],[99.67743886],[65.8614092],[72.81263051],[87.32130252],[0.95715795],[99.3337156],[107.58048699]
263,[616.74204299],[45.33666498],[100.93508109],[87.16984163],[85.12259847],[100.22872941],[0.98255061],[103.4743418],[93.49223501]
264,[352.75301163],[22.93492884],[57.26262483],[18.21540715],[39.59179071],[109.91133861],[-32.82065219],[78.44458554],[59.21298815]
265,[569.6127432],[97.74640557],[81.03523266],[64.43872307],[43.53693577],[62.09888301],[-8.7064813],[154.74926565],[74.71377878]
266,[-296.30072863],[-10.07359282],[-81.52663461],[-11.59583361],[-7.47669645],[-40.3675902],[-112.98311567],[11.62343679],[-43.90070207]
267,[672.01112422],[82.06502049],[110.41763556],[149.28268655],[34.81263758],[74.72020628],[0.61599732],[87.91501807],[132.18192235]
268,[676.30832497],[91.3172348],[76.97652604],[99.78581254],[130.27993191],[102.28925836],[0.03306531],[115.99575458],[59.63074144]
269,[-1011.53706433],[-175.21184797],[-158.76648011],[-97.37449272],[-158.68176771],[-89.67862139],[-186.42669339],[-112.95411032],[-32.44305072]
270,[614.84717054],[107.15236185],[81.25314875],[100.96804457],[78.4247819],[87.89358916],[0.01655944],[76.53080511],[82.60787976]
271,[36.61560426],[2.60656349],[9.52022612],[1.9847636],[5.0709449],[15.60940387],[-21.28343287],[22.67195247],[0.43518267]
272,[239.80323598],[70.23732806],[0.79326548],[27.96582678],[63.28484564],[0.19698266],[-52.87425055],[64.61781565],[65.58142227]
273,[656.06487177],[104.01086307],[64.04097426],[99.66678252],[69.86324789],[125.97028471],[0.00812385],[105.37629842],[87.12829705]
274,[596.70127545],[77.46814711],[77.04561791],[101.70954589],[57.29507513],[140.73798639],[4.16728801],[75.40642754],[62.87118747]
275,[646.63207672],[77.91649059],[102.04374551],[148.30428216],[104.50721389],[67.83752132],[0.00143515],[97.54420737],[48.47718072]
276,[107.91843311],[4.98245828],[19.09108854],[32.89080581],[11.21777372],[-0.14162893],[-11.45788856],[31.97299545],[19.36282879]
277,[602.48885555],[82.82250195],[87.90203702],[84.75003399],[77.29705522],[71.06425254],[0.08794707],[108.62187387],[89.94315389]
278,[529.27442286],[87.24691835],[53.11490379],[77.6575148],[91.3784051],[69.66041098],[-14.06994441],[112.81062081],[51.47559343]
279,[-76.8806996],[22.63735493],[-1.07779319],[-4.63362736],[-39.48021295],[6.25206531],[-80.29658214],[-1.11027803],[20.82837384]
280,[-230.96409628],[27.55163477],[-76.23418072],[19.95280133],[-9.02285596],[-29.37187075],[-103.12281722],[-43.55035896],[-17.16644877]
281,[683.62092992],[101.23182992],[69.73872302],[114.20363652],[64.75477497],[84.71370717],[3.62258728],[141.34445192],[104.01121912]
282,[575.91603063],[137.31842765],[78.92808256],[40.35247257],[62.54239073],[66.24953597],[0.01220036],[110.20390822],[80.30901258]
283,[692.4525792],[130.72631795],[89.34934994],[108.68120002],[101.74817851],[85.1614507],[0.16724615],[109.5133526],[67.10548333]
284,[635.87181203],[65.31310512],[148.97406661],[123.9870859],[66.92429764],[71.41994621],[0.4751291],[90.80142315],[67.9767583]
285,[602.4487619],[99.4292774],[62.15328001],[120.15173691],[83.0569736],[73.80309186],[2.38675585],[76.26998117],[85.19766511]
286,[688.88154438],[87.00277971],[57.86221189],[153.52718985],[86.61725245],[94.0942088],[1.54962598],[145.38667622],[62.84159947]
287,[221.26511049],[66.30700094],[3.32931307],[6.4147395],[22.26448399],[66.35978541],[-43.63250708],[90.3306162],[9.89167846]
288,[-157.73128594],[-19.19434822],[-19.18379037],[-19.4794895],[-19.71356084],[-20.09312429],[-20.95492042],[-19.49313608],[-19.61891623]
289,[722.35625174],[143.39346071],[81.08650579],[107.06233308],[94.72938498],[103.68911882],[-0.94974643],[49.25166959],[144.09352521]
290,[630.85993986],[157.12632651],[50.72102421],[93.79927546],[77.20542617],[100.02302847],[-4.55816116],[83.14054814],[73.40247206]
291,[719.95042733],[76.10890636],[79.58082338],[102.92799524],[78.66523301],[134.30559209],[1.24044017],[148.43348087],[98.68795622]
292,[611.35119771],[103.67436966],[71.80153043],[100.6786017],[113.2210697],[74.04754292],[-0.04467748],[59.46363663],[88.50912415]
293,[198.626284],[0.56514551],[-5.06370686],[13.60296989],[29.97476288],[59.43503125],[-42.35718197],[112.25502522],[30.21423808]
294,[529.56684608],[70.22644537],[68.56416745],[108.73775866],[71.35724642],[102.40557101],[-0.65339917],[15.60051685],[93.32853948]
295,[699.7221842],[130.7981062],[113.29941696],[96.71412688],[88.22973534],[67.55301411],[-1.17903555],[96.03411459],[108.27270565]
296,[615.01341429],[82.56088276],[51.13405475],[60.87817784],[74.06623591],[118.3727662],[-13.54976992],[132.21704214],[109.33402462]
297,[672.67277194],[62.21773732],[91.84693759],[163.16635074],[95.48214122],[40.60246946],[-0.15268914],[76.3201934],[143.18963134]
298,[620.80350442],[72.06542741],[59.92112884],[98.6978958],[112.55010933],[96.08139908],[0.01115952],[80.2740946],[101.20228985]
299,[489.03714091],[31.12865352],[88.32967178],[143.34854224],[39.03118029],[43.91172634],[-14.78916214],[81.49816855],[76.57836032]
300,[692.1300732],[49.59002564],[79.90525639],[122.65525107],[67.16919046],[102.32976144],[2.0350496],[131.21476261],[137.23077599]
301,[641.23541282],[54.99292095],[110.60512258],[124.2695827],[44.6382827],[85.10085477],[0.00377442],[129.0129185],[92.61195621]
302,[696.85307295],[98.99373041],[76.72016011],[95.90924361],[51.98296823],[149.38683759],[0.02522819],[127.25102198],[96.58388282]
303,[659.31353093],[128.70257376],[56.92819305],[107.54703033],[99.91222138],[52.27169246],[0.25401602],[91.63764114],[122.06016279]
304,[693.28357804],[136.88258533],[107.75437506],[104.87449538],[46.30928542],[94.76499792],[0.],[121.40359919],[81.29423975]
305,[533.1511241],[65.08941636],[77.25103184],[56.7527362],[89.27473865],[95.91748073],[-6.42102696],[109.05185341],[46.23489386]
306,[592.9484623],[69.30976093],[96.93906044],[116.20958278],[38.66112037],[64.63815944],[-8.63387184],[111.74779348],[104.0768567]
307,[526.35602464],[94.60085017],[91.91863095],[11.21090151],[77.52724909],[143.30066926],[-8.81478592],[71.78074647],[44.83176312]
308,[632.95620302],[125.19732466],[66.27176846],[100.88299621],[90.03687572],[77.61705471],[3.52165858],[95.00273893],[74.42578576]
309,[670.3415964],[91.35269398],[128.545485],[114.23897073],[61.27878593],[31.56242984],[0.02777367],[126.64253649],[116.69292076]
310,[634.84850786],[84.56233066],[109.97441423],[55.80281077],[71.21188404],[145.97673915],[0.13310226],[110.35713644],[56.83009031]
311,[640.56693285],[113.47534316],[68.57709007],[62.01717978],[121.84039443],[71.07249499],[0.],[100.49602761],[103.08840281]
312,[-155.40807455],[-19.37401656],[-19.53157092],[-19.20666486],[-19.33994199],[-19.20950092],[-19.88308033],[-19.40417934],[-19.45911964]
313,[696.46808442],[169.88994507],[78.47374243],[99.2865217],[110.92473004],[43.75700812],[0.],[94.85593768],[99.28019938]
314,[673.54539771],[83.29182565],[104.54660007],[78.17837437],[135.27585247],[68.83930165],[0.01355287],[90.38863821],[113.01125242]
315,[693.39721532],[64.62420072],[75.56620936],[157.37492493],[52.06111867],[88.07176423],[0.],[160.83923877],[94.85975865]
316,[641.19516829],[93.97022429],[99.00957372],[99.41333901],[45.56139268],[94.74140206],[0.00011054],[90.08594153],[118.41318446]
317,[613.68831963],[74.47615165],[42.84254601],[82.08202199],[77.13234549],[79.72433235],[0.00655656],[118.99460813],[138.42975745]
318,[156.52887498],[16.71148623],[66.86654771],[24.48395784],[63.7807583],[-20.25841246],[-58.03089505],[18.34754651],[44.62788591]
319,[631.84029636],[158.55689731],[89.10363603],[78.98711966],[46.8057717],[122.87491402],[0.13198519],[67.03193812],[68.34803434]
320,[618.86415139],[32.66858855],[105.35237654],[100.72454887],[60.81693248],[102.76180453],[0.],[89.7798829],[126.76001752]
321,[355.77805177],[65.71555326],[90.7648208],[41.84712836],[25.9831273],[44.10641045],[-31.7856489],[58.41151081],[60.73514969]
322,[679.70436453],[100.75831028],[63.13799541],[104.7619755],[81.07127207],[130.73583367],[0.],[131.79944779],[67.43952981]
323,[673.23800865],[144.16759425],[65.45095378],[91.14178019],[96.52974935],[109.67990376],[-0.00296675],[121.99460435],[44.27638972]
324,[604.29568582],[107.02108206],[26.27813168],[96.64140697],[113.13999913],[47.10835125],[0.49988056],[95.21438531],[118.39244885]
325,[654.54580958],[58.10171465],[135.65790667],[152.13648512],[53.59556831],[89.61172317],[0.00016943],[103.3983255],[62.04391674]
326,[619.67661359],[132.04938445],[73.52511422],[97.33502373],[89.3382172],[62.2925839],[0.00261097],[90.64654588],[74.48713324]
327,[627.49451875],[75.10176438],[126.85443881],[88.1620051],[88.30713639],[63.65275945],[0.],[100.17736039],[85.23905422]
328,[659.25842759],[92.08832886],[138.90174782],[93.51917235],[50.5089683],[66.27359783],[0.],[95.72827322],[122.23833922]
329,[617.36890445],[104.32666498],[79.32209564],[79.31697139],[101.06139122],[66.78906848],[-0.2039904],[73.40997152],[113.34673162]
330,[637.45650724],[119.98859666],[46.91154612],[59.76973403],[91.2835525],[62.69247819],[0.00046288],[118.11637284],[138.69376402]
331,[639.08451202],[98.02103886],[97.8959388],[71.74047779],[100.80591788],[65.72619116],[0.],[106.86054862],[98.03439892]
332,[672.63577496],[145.68202812],[95.82818915],[80.44979793],[86.41385775],[59.47235096],[0.],[68.22821161],[136.56133944]
333,[591.07813418],[95.20492405],[81.05743036],[127.67355252],[83.84381964],[68.07989181],[0.],[84.74741233],[50.47110347]
334,[34.23800728],[8.00224806],[24.9256179],[28.26568244],[-8.61819759],[-0.85750794],[-68.96589838],[11.09439258],[40.39167021]
335,[708.36561847],[99.95678795],[113.56352965],[114.92956902],[116.96174926],[99.78030782],[-0.37060404],[87.56008948],[75.98418934]
336,[695.40854864],[50.74763389],[157.18446762],[78.97495059],[122.6598667],[108.68702652],[0.11861405],[77.82753688],[99.20845238]
337,[609.1035809],[48.85200095],[122.76418516],[80.11368247],[89.55883955],[102.88796843],[-0.01167286],[114.85216203],[50.08641516]
338,[-2279.74809429],[-283.31516354],[-312.61429958],[-224.67514541],[-289.94640451],[-278.84693295],[-357.42054246],[-255.93223411],[-276.99737173]
339,[615.63959589],[88.39605734],[65.57192429],[102.62059413],[101.08664803],[108.50802165],[0.],[74.08240885],[75.3739416]
340,[78.17025031],[49.1395378],[32.27156139],[35.41933424],[30.60698777],[20.21289359],[-61.93177818],[-4.5574442],[-22.9908421]
341,[672.25960843],[154.68463554],[70.78772506],[126.79073125],[69.50086368],[61.6251266],[0.],[74.84187248],[114.02865382]
342,[-163.18137622],[-20.75573786],[-20.54505813],[-18.95408757],[-20.95676082],[-18.98988181],[-22.62778875],[-21.0741489],[-19.27791237]
343,[652.8079938],[137.3524753],[62.82365746],[94.42824274],[97.18275175],[64.59376066],[-0.14080023],[104.20420448],[92.36370164]
344,[647.25642801],[64.69417862],[96.99267621],[99.02000844],[91.29743781],[97.03246161],[0.],[90.70492785],[107.51473747]
345,[-2042.60827367],[-317.60279275],[-271.15165042],[-179.3204799],[-276.1778585],[-258.1841028],[-329.35713998],[-227.45948339],[-183.35476593]
346,[-104.65115671],[-2.60375633],[-37.44609317],[4.30605258],[14.57979314],[-37.66627434],[-83.59161703],[36.86337522],[0.90736323]
347,[628.8133671],[76.06924816],[125.26340638],[123.00452726],[94.25996882],[53.00517846],[0.],[47.63941274],[109.57162527]
348,[595.58783009],[68.93988385],[31.45727954],[115.20244985],[88.52599265],[129.50804065],[-12.223282],[106.30550789],[67.87195764]
349,[608.27185387],[100.41198628],[21.85347381],[119.9666158],[94.4961877],[59.82456441],[0.],[69.11691978],[142.60210608]
350,[657.73207313],[95.12603567],[91.29412557],[56.43075184],[100.09230304],[57.76777235],[0.],[97.7184151],[159.30266956]
351,[-1394.41335274],[-133.19192241],[-185.4901772],[-181.34088271],[-132.57263933],[-203.2493805],[-244.41781581],[-145.9953599],[-168.15517488]
352,[595.77616406],[73.60385185],[84.60496234],[120.89079978],[98.21267099],[92.19080597],[0.],[82.06832652],[44.20474661]
353,[256.29930099],[28.47463843],[6.42554054],[37.35528958],[57.97588321],[30.33173036],[-46.41361791],[50.89742735],[91.25240941]
354,[587.46222916],[66.45210737],[84.60193495],[113.16616308],[104.14199362],[66.42067421],[-6.01757466],[52.55699914],[106.13993144]
355,[-714.09058408],[-93.77326096],[-60.70611333],[-79.58024444],[-94.43178009],[-100.37764994],[-135.66063748],[-82.98367114],[-66.5772267]
356,[572.49198202],[113.55698114],[115.34159663],[91.05385855],[57.30049038],[60.88771721],[0.],[70.36273558],[63.98860253]
357,[462.96208122],[52.28088524],[75.92377256],[139.09129801],[14.45711121],[69.54960268],[-16.14610664],[72.62121745],[55.18430072]
358,[349.27101632],[57.00279809],[32.15019331],[72.1513927],[8.25212173],[58.47354366],[-28.79979442],[94.3875364],[55.65322484]
359,[593.98305334],[122.80308152],[57.37244278],[65.10938246],[41.444848],[91.8357827],[0.],[134.71690998],[80.70060591]
360,[361.43089167],[55.59163445],[46.22770144],[99.92629636],[31.56768659],[8.50264533],[-40.80909013],[84.82831579],[75.59570184]
361,[656.53004344],[145.37114862],[64.06896527],[137.30116655],[54.30192054],[113.13653015],[-0.00970918],[84.91149309],[57.44852839]
362,[654.67724247],[99.62162689],[45.56237811],[127.42719877],[112.78584102],[87.05473771],[0.21967534],[103.59656322],[78.40922141]
363,[11.74012789],[-18.6084045],[2.28598909],[52.01199596],[48.22091933],[-25.49429055],[-77.69432411],[30.20472566],[0.81351701]
364,[681.14312854],[62.74329497],[52.47114493],[95.25735483],[136.75188737],[98.18027374],[0.],[117.11624317],[118.62292953]
365,[682.13931897],[104.58699531],[80.89379945],[66.93883001],[112.25341856],[136.34538076],[0.],[96.84639511],[84.27449977]
366,[-655.53990459],[-86.64994464],[-62.41710012],[-83.96825758],[-65.6671123],[-79.79937806],[-148.99701844],[-56.27833848],[-71.76275497]
367,[-561.77582813],[-18.26099643],[-36.40800597],[-50.48068187],[-70.36588512],[-78.68553257],[-132.67657316],[-115.91394292],[-58.98421008]
368,[562.22813555],[51.27697503],[42.22463259],[137.05702559],[49.60810065],[56.31145749],[-2.22942998],[137.41817476],[90.56119942]
369,[148.64307031],[24.95797223],[46.66370546],[12.61408845],[14.56571657],[19.46856834],[-13.0264312],[12.97230097],[30.42714949]
370,[-488.35476974],[-18.79257437],[-2.89578635],[-52.62538471],[-47.65602499],[-123.12774132],[-138.91505125],[-86.11340589],[-18.22880087]
371,[623.70766756],[122.65705499],[124.29211607],[93.1317346],[88.2407355],[40.637753],[0.],[84.34475614],[70.40351725]
372,[588.2611318],[86.59485176],[89.0143433],[137.44271871],[78.52565343],[61.80453671],[0.],[36.78970629],[98.0893216]
373,[690.67261449],[92.40986027],[79.34445042],[138.55265424],[49.06999956],[101.67382658],[0.],[85.29906358],[144.32275983]
374,[585.17795794],[36.71854479],[56.1315392],[87.97093015],[50.15510467],[120.33467813],[-1.23237683],[113.00456799],[122.09496983]
375,[444.114033],[71.50414453],[46.5755326],[61.27785459],[26.58309184],[111.56848692],[-18.89807027],[96.92426091],[48.57873188]
376,[674.70053392],[181.49809552],[75.67853755],[113.49246205],[48.26670065],[109.63173033],[-1.57166481],[88.2463885],[59.45828413]
377,[637.74787825],[129.20314714],[63.96072838],[111.49779775],[26.54354186],[86.8374029],[0.],[102.4005989],[117.30466132]
378,[562.7376089],[68.13011425],[110.74356587],[70.64742681],[40.69731178],[91.48130711],[0.],[76.38507216],[104.65281092]
379,[87.04897192],[77.38121785],[-1.60303431],[26.9818666],[-19.27090669],[13.7999447],[-63.28681071],[-21.47857879],[74.52527328]
380,[580.36330608],[79.22181707],[94.93537256],[71.88683489],[92.83143294],[79.54301481],[-0.00416633],[107.4871512],[54.46184894]
381,[630.73293202],[104.14031886],[31.89924476],[119.93633742],[106.10030424],[102.74823982],[0.],[72.43431929],[93.47416762]
382,[607.3675784],[83.58739894],[89.45799971],[93.20014406],[98.29028112],[97.68374825],[0.],[60.38788678],[84.76011954]
383,[683.10430416],[119.51277449],[117.77089523],[92.96118117],[67.85213804],[69.60961672],[0.],[86.46784037],[128.92985815]
384,[549.70345673],[28.00913215],[83.33874456],[118.63462937],[35.20599488],[59.93807048],[0.],[77.7357838],[146.84110149]
385,[612.74949045],[77.14369068],[40.79895216],[81.81267063],[53.73435521],[145.57313861],[0.],[85.63690223],[128.04978094]
386,[643.98358663],[63.98669168],[51.37672331],[105.70578111],[34.09441315],[116.56467461],[0.],[154.65071894],[117.60458383]
387,[714.59164328],[87.57158666],[96.36712632],[106.90989136],[110.59231759],[106.91463703],[-2.],[111.8854243],[96.35066003]
388,[658.14006801],[119.93836614],[72.15459096],[103.72140998],[121.20676194],[54.64147926],[0.],[71.85597907],[114.62148066]
389,[670.36172664],[92.77612219],[62.57873671],[160.35577931],[107.07199448],[75.73776855],[0.],[100.41549307],[71.42583233]
390,[592.33106105],[73.15651547],[90.40965439],[58.88336698],[60.1692528],[99.72577482],[-0.00136176],[92.22356969],[117.76428865]
391,[576.05940801],[100.15918893],[75.96480973],[34.48290183],[113.73722399],[71.93086107],[0.],[98.43936564],[81.34505682]
392,[306.42338646],[50.15463072],[35.43984555],[87.04636893],[51.74152955],[74.91458167],[-38.10888358],[13.03830815],[32.19700548]
393,[-1922.80787164],[-258.98985837],[-262.2835151],[-229.47366307],[-282.80730962],[-153.39427117],[-314.47165813],[-170.88252113],[-250.50507505]
394,[613.10421301],[124.85320347],[107.13444431],[91.41594885],[49.86679362],[72.51347132],[0.],[94.36560138],[72.95475006]
395,[-106.81099465],[-29.57484144],[-23.27316213],[-32.69887518],[48.38336299],[-29.40553648],[-90.22468817],[11.72446389],[38.25828187]
396,[617.73548036],[77.32844699],[101.526216],[75.96662916],[70.59710324],[99.15670904],[0.],[98.21639226],[94.94398367]
397,[604.46124532],[34.30361447],[94.42049722],[91.97753151],[133.509403],[55.70989627],[0.],[143.83216968],[50.70813316]
398,[-273.8937556],[-16.36824237],[0.5799959],[22.3981923],[-65.61120107],[-36.64343133],[-118.58563976],[-36.75958983],[-22.90383943]
399,[660.76174518],[97.95674959],[69.82985359],[45.90291823],[124.06630777],[113.6611565],[-5.84191442],[115.27408117],[99.91259276]
400,[-1079.4658839],[-138.92407839],[-131.16064713],[-86.20593555],[-102.87374531],[-119.55029095],[-208.0781671],[-144.93416372],[-147.73885575]
401,[581.15394112],[31.25036934],[72.30357095],[134.73643294],[53.58793824],[63.92776018],[0.],[133.00680734],[92.34106213]
402,[553.7978319],[54.70317688],[92.09850786],[92.95447316],[103.86764417],[70.70230979],[0.],[80.94351163],[58.52820841]
403,[634.32200366],[123.40340303],[77.94930502],[61.84942358],[63.16811593],[75.69284199],[0.],[127.38671646],[104.87219766]
404,[-64.80605086],[-7.39371421],[-1.86228603],[-9.05415355],[-7.41674275],[-6.38045578],[-17.81162022],[-9.21498818],[-5.67209013]
405,[670.12202967],[86.26566858],[111.43700751],[65.77841004],[78.57664798],[133.88951832],[0.],[81.30879901],[112.86597824]
406,[652.95154114],[137.82259606],[97.64437561],[114.86264089],[70.81182089],[71.45854541],[0.],[69.01896967],[91.33259262]
407,[635.66740898],[56.1667598],[76.30072548],[84.32590228],[86.95493287],[117.15495703],[0.],[98.74868069],[116.01545083]
